⺁	〔※󰃼※󰄋※󰄋※※☯rtt※〕
敤	〔※󰃋※󰄅※󰀥※󰂘☯jshc※〕
敥	〔※󰃩※󰃩※󰀥※󰂘☯oohc※〕
敦	〔※󰁸※󰂎※󰄏※󰁶☯ybty※〕
敧	〔※󰂝※󰄆※󰃏※󰂘☯dskc※〕
敨	〔※󰄓※󰃏※󰄏※󰁶☯ukty※〕
敩	〔※󰀧※󰃱※󰂎※󰄏☯ipbt※〕
敪	〔※󰂘※󰂘※󰂘※󰄏☯ccct※〕
敫	〔※󰃽※󰄸※󰄏※󰁶☯ryty※〕
敬	〔※󰄖※󰃷※󰃏※󰄏☯aqkt※〕
敭	〔※󰃊※󰂶※󰃷※󰄏☯jgqt※〕
敮	〔※󰄋※󰂱※󰂪※󰂘☯tfec※〕
敯	〔※󰁂※󰀁※󰃊※󰂘☯najc※〕
数	〔※󰃪※󰄟※󰄏※󰁶☯ovty※〕
敱	〔※󰃘※󰂶※󰃏※󰂘☯mgkc※〕
敲	〔※󰁸※󰃜※󰃏※󰂘☯ymkc※〕
敳	〔※󰃘※󰂶※󰃏※󰄏☯mgkt※〕
整	〔※󰄅※󰃏※󰄏※󰂾☯skth※〕
敵	〔※󰄶※󰄒※󰃜※󰄏☯yumt※〕
敶	〔※󰂏※󰄅※󰃋※󰄏☯bsjt※〕
敷	〔※󰄊※󰄸※󰄏※󰁶☯syty※〕
數	〔※󰀻※󰄟※󰄏※󰁶☯lvty※〕
敹	〔※󰀥※󰃱※󰄋※󰄏☯hptt※〕
敺	〔※󰂋※󰃏※󰃏※󰂘☯akkc※〕
敻	〔※󰃸※󰀿※󰄤※󰄏☯qmwt※〕
敼	〔※󰂯※󰃏※󰄕※󰂘☯fkuc※〕
敽	〔※󰄋※󰂝※󰃏※󰂘☯tdkc※〕
敾	〔※󰄜※󰄕※󰃏※󰄏☯uukt※〕
敿	〔※󰄋※󰂝※󰃏※󰄏☯tdkt※〕
斀	〔※󰃔※󰃷※󰃍※󰂘☯lqjc※〕
斁	〔※󰃔※󰂮※󰄕※󰄏☯lfut※〕
斂	〔※󰄤※󰂶※󰃏※󰄏☯wgkt※〕
斃	〔※󰃇※󰄏※󰂶※󰄮☯itgx※〕
斄	〔※󰂵※󰄏※󰂡※󰄤☯ftdw※〕
斅	〔※󰀗※󰄄※󰄄※󰂘☯errc※〕
斆	〔※󰀗※󰄄※󰄄※󰄏☯errt※〕
文	〔※󰄷※󰄼※󰂶※󰂃☯yygy※〕
斈	〔※󰄷※󰂍※󰀘※※☯ybf※〕
斉	〔※󰄷※󰀳※󰀘※※☯yjf※〕
斊	〔※󰄷※󰂐※󰀘※※☯ybf※〕
斋	〔※󰄷※󰂢※󰃜※󰀭☯ydmj※〕
斌	〔※󰄷※󰂶※󰀁※󰄼☯ygay※〕
斍	〔※󰄷※󰂼※󰃺※󰀅☯yhqb※〕
斎	〔※󰄷※󰀳※󰃅※󰁧☯yjiu※〕
斏	〔※󰄷※󰄼※󰄣※󰁶☯yyvy※〕
斐	〔※󰂺※󰂜※󰂺※󰄷☯hdhy※〕
斑	〔※󰂷※󰄷※󰂷※󰀝☯gygg※〕
斒	〔※󰄷※󰄼※󰃡※󰄖☯yyna※〕
斓	〔※󰄷※󰄙※󰄅※󰀹☯yusl※〕
斔	〔※󰄷※󰃍※󰂪※󰄤☯yjew※〕
斕	〔※󰄷※󰄚※󰄅※󰀹☯yusl※〕
斖	〔※󰄷※󰀗※󰀿※󰂶☯yemg※〕
斗	〔※󰁦※󰂱※󰀵※※☯ufk※〕
斘	〔※󰃹※󰁦※󰂱※󰀢☯qufh※〕
料	〔※󰃪※󰁦※󰂱※󰀢☯oufh※〕
斚	〔※󰂙※󰂙※󰃱※󰂱☯ccpf※〕
斛	〔※󰃸※󰂨※󰁦※󰂱☯qeuf※〕
斜	〔※󰄤※󰂶※󰄉※󰂱☯wgsf※〕
斝	〔※󰃏※󰃏※󰃱※󰂱☯kkpf※〕
斞	〔※󰂪※󰄤※󰁦※󰂱☯ewuf※〕
斟	〔※󰀎※󰄦※󰄃※󰂱☯dwnf※〕
斠	〔※󰀀※󰃜※󰂮※󰂱☯amff※〕
斡	〔※󰂱※󰃌※󰄤※󰂱☯fjwf※〕
斢	〔※󰁺※󰃙※󰄦※󰂱☯amwf※〕
斣	〔※󰃔※󰃷※󰃍※󰂱☯lqjf※〕
斤	〔※󰄀※󰄋※󰄋※󰂺☯rtth※〕
斥	〔※󰄀※󰄼※󰀦※※☯ryi※〕
斦	〔※󰄀※󰄀※󰀢※※☯rrh※〕
斧	〔※󰄦※󰄄※󰄀※󰀬☯wrrj※〕
斨	〔※󰄗※󰄀※󰀢※※☯urh※〕
斩	〔※󰃖※󰄀※󰀢※※☯lrh※〕
斪	〔※󰃷※󰃏※󰄀※󰀢☯qkrh※〕
斫	〔※󰂠※󰄀※󰀢※※☯drh※〕
斬	〔※󰃗※󰄀※󰀢※※☯lrh※〕
断	〔※󰃪※󰄃※󰄀※󰀢☯onrh※〕
斮	〔※󰁺※󰃊※󰄀※󰀢☯ajrh※〕
斯	〔※󰀎※󰄦※󰄀※󰀢☯dwrh※〕
新	〔※󰄓※󰄉※󰄀※󰀢☯usrh※〕
斱	〔※󰂮※󰄋※󰃊※󰄀☯ftjr※〕
斲	〔※󰂋※󰁃※󰀚※󰄀☯anfr※〕
斳	〔※󰂊※󰃏※󰁽※󰄀☯akgr※〕
斴	〔※󰃪※󰃹※󰂅※󰄀☯oqgr※〕
斵	〔※󰁚※󰄼※󰄠※󰄀☯qyvr※〕
斶	〔※󰄀※󰃔※󰃷※󰃍☯rlqj※〕
斷	〔※󰄩※󰄩※󰂶※󰄀☯xxgr※〕
斸	〔※󰃡※󰃃※󰃔※󰄀☯nilr※〕
方	〔※󰄸※󰄼※󰂶※󰄋☯yygt※〕
斺	〔※󰄸※󰄤※󰀯※󰀢☯ywjh※〕
斻	〔※󰄸※󰁿※󰄨※󰁀☯ytwn※〕
於	〔※󰄸※󰄤※󰁦※󰁶☯ywuy※〕
施	〔※󰄸※󰁿※󰂓※󰁀☯ytbn※〕
斾	〔※󰄸※󰁿※󰃜※󰂺☯ytmh※〕
斿	〔※󰄸※󰁿※󰂍※󰀝☯ytbg※〕
旀	〔※󰄸※󰂙※󰃅※󰁶☯yciy※〕
旁	〔※󰄶※󰄒※󰃱※󰄸☯yupy※〕
旂	〔※󰄸※󰁿※󰄀※󰀢☯ytrh※〕
旃	〔※󰄸※󰁿※󰀼※󰄶☯ytmy※〕
旄	〔※󰄸※󰁿※󰂬※󰁀☯yten※〕
旅	〔※󰄸※󰁿※󰀕※󰁶☯ytey※〕
旆	〔※󰄸※󰁿※󰂶※󰂺☯ytgh※〕
旇	〔※󰄸※󰁿※󰂗※󰁶☯ytby※〕
旈	〔※󰄸※󰄶※󰂙※󰀸☯yyck※〕
旉	〔※󰄊※󰄸※󰁣※※☯syr※〕
旊	〔※󰄸※󰁿※󰂶※󰄼☯ytgy※〕
旋	〔※󰄸※󰁿※󰃦※󰁾☯ytnh※〕
旌	〔※󰄸※󰁿※󰄋※󰁽☯yttg※〕
旍	〔※󰄸※󰁿※󰄤※󰁻☯ytwc※〕
旎	〔※󰄸※󰁿※󰃡※󰄮☯ytnx※〕
族	〔※󰄸※󰁿※󰁿※󰂝☯yttd※〕
旐	〔※󰄸※󰁿※󰃺※󰀪☯ytqi※〕
旑	〔※󰄸※󰂝※󰄆※󰃏☯ydsk※〕
旒	〔※󰄸※󰁿※󰄶※󰀸☯ytyk※〕
旓	〔※󰄸※󰁿※󰃆※󰂧☯ytie※〕
旔	〔※󰄸※󰁬※󰀟※󰃯☯yvgp※〕
旕	〔※󰄸※󰄤※󰁦※󰄮☯ywux※〕
旖	〔※󰄸※󰁿※󰂝※󰃏☯ytdk※〕
旗	〔※󰄸※󰁿※󰀎※󰄦☯ytdw※〕
旘	〔※󰄸※󰄶※󰄒※󰃊☯yyuj※〕
旙	〔※󰄸※󰄋※󰃪※󰃐☯ytol※〕
旚	〔※󰄸※󰁿※󰄈※󰃅☯ytsi※〕
旛	〔※󰄸※󰁿※󰄋※󰃐☯yttl※〕
旜	〔※󰄸※󰁿※󰄶※󰂶☯ytyg※〕
旝	〔※󰄸※󰁿※󰄤※󰃊☯ytwj※〕
旞	〔※󰄸※󰁿※󰄕※󰃮☯ytup※〕
旟	〔※󰄸※󰁿※󰀗※󰄦☯ytew※〕
无	〔※󰂭※󰁜※󰁫※※☯fqv※〕
旡	〔※󰀄※󰁜※󰁫※※☯aqv※〕
既	〔※󰁮※󰀄※󰁜※󰁀☯vaqn※〕
旣	〔※󰃽※󰄮※󰀄※󰁜☯rxaq※〕
旤	〔※󰃜※󰁈※󰃜※󰁜☯mnmq※〕
日	〔※󰃊※󰃊※󰃊※󰃊☯jjjj※〕
旦	〔※󰃋※󰂶※󰀘※※☯jgf※〕
旧	〔※󰂺※󰃊※󰀝※※☯hjg※〕
旨	〔※󰄮※󰃋※󰀘※※☯xjf※〕
早	〔※󰃌※󰂺※󰁈※󰂺☯jhnh※〕
旪	〔※󰃊※󰂱※󰀢※※☯jfh※〕
旫	〔※󰃊※󰄠※󰁥※※☯jvt※〕
旬	〔※󰃷※󰃊※󰀌※※☯qjd※〕
旭	〔※󰄡※󰃊※󰀌※※☯vjd※〕
旮	〔※󰄡※󰃋※󰀘※※☯vjf※〕
旯	〔※󰃋※󰄡※󰀅※※☯jvb※〕
旰	〔※󰃊※󰂰※󰀢※※☯jfh※〕
旱	〔※󰃋※󰂰※󰀬※※☯jfj※〕
旲	〔※󰃋※󰂝※󰁧※※☯jdu※〕
旳	〔※󰃊※󰃷※󰄼※󰁶☯jqyy※〕
旴	〔※󰃊※󰂶※󰀛※󰀢☯jgfh※〕
旵	〔※󰃋※󰃘※󰀬※※☯jmj※〕
时	〔※󰃊※󰂳※󰁶※※☯jfy※〕
旷	〔※󰃊※󰃫※󰁥※※☯jot※〕
旸	〔※󰃊※󰁍※󰁤※󰁥☯jnrt※〕
旹	〔※󰂔※󰂺※󰂶※󰃋☯bhgj※〕
旺	〔※󰃊※󰂷※󰀝※※☯jgg※〕
旻	〔※󰃋※󰄷※󰁧※※☯jyu※〕
旼	〔※󰃊※󰄷※󰁶※※☯jyy※〕
旽	〔※󰃊※󰂶※󰂔※󰄻☯jgbn※〕
旾	〔※󰂶※󰂔※󰄻※󰃊☯gbnj※〕
旿	〔※󰃊※󰁿※󰂱※󰀢☯jtfh※〕
昀	〔※󰃊※󰃷※󰄑※󰀝☯jqug※〕
昁	〔※󰃊※󰂶※󰃜※󰂺☯jgmh※〕
昂	〔※󰃋※󰁚※󰂕※󰀬☯jqbj※〕
昃	〔※󰃋※󰂡※󰄤※󰁧☯jdwu※〕
昄	〔※󰃊※󰃼※󰂘※󰁶☯jrcy※〕
昅	〔※󰃊※󰂖※󰂃※󰁶☯jbyy※〕
昆	〔※󰃋※󰁴※󰄮※󰀅☯jxxb※〕
昇	〔※󰃋※󰄋※󰂉※󰀬☯jtaj※〕
昈	〔※󰃊※󰄼※󰃡※󰁥☯jynt※〕
昉	〔※󰃊※󰄸※󰁥※※☯jyt※〕
昊	〔※󰃋※󰂶※󰂝※󰁧☯jgdu※〕
昋	〔※󰂶※󰂝※󰃊※󰀘☯gdjf※〕
昌	〔※󰃋※󰃋※󰀘※※☯jjf※〕
昍	〔※󰃊※󰃊※󰀝※※☯jjg※〕
明	〔※󰃊※󰂧※󰀝※※☯jeg※〕
昏	〔※󰁚※󰀁※󰃊※󰀘☯qajf※〕
昐	〔※󰃊※󰄦※󰄠※󰁥☯jwvt※〕
昑	〔※󰃊※󰄤※󰄼※󰃦☯jwyn※〕
昒	〔※󰃊※󰃷※󰁤※󰁥☯jqrt※〕
易	〔※󰃋※󰃷※󰁤※󰁣☯jqrr※〕
昔	〔※󰁺※󰃋※󰀘※※☯ajf※〕
昕	〔※󰃊※󰄀※󰀢※※☯jrh※〕
昖	〔※󰃊※󰄦※󰂙※󰁶☯jwcy※〕
昗	〔※󰃋※󰄘※󰁧※※☯juu※〕
昘	〔※󰃋※󰄸※󰁣※※☯jyr※〕
昙	〔※󰃋※󰂭※󰂙※󰁧☯jfcu※〕
昚	〔※󰂝※󰄒※󰃊※󰀘☯dujf※〕
昛	〔※󰃊※󰂋※󰁃※󰀝☯jang※〕
昜	〔※󰃋※󰂶※󰃷※󰁤☯jgqr※〕
昝	〔※󰄐※󰂿※󰃋※󰀘☯thjf※〕
昞	〔※󰃊※󰂶※󰃜※󰄤☯jgmw※〕
星	〔※󰃋※󰄋※󰁽※󰀘☯jtgf※〕
映	〔※󰃊※󰀿※󰂝※󰁶☯jmdy※〕
昡	〔※󰃊※󰄶※󰄩※󰁶☯jyxy※〕
昢	〔※󰃊※󰂔※󰃘※󰀢☯jbmh※〕
昣	〔※󰃊※󰄤※󰂥※󰁥☯jwet※〕
昤	〔※󰃊※󰄤※󰄼※󰁻☯jwyc※〕
春	〔※󰂜※󰄤※󰃋※󰀘☯dwjf※〕
昦	〔※󰃋※󰂝※󰀯※󰀬☯jdjj※〕
昧	〔※󰃊※󰂵※󰁶※※☯jfy※〕
昨	〔※󰃊※󰁿※󰂺※󰂭☯jthf※〕
昩	〔※󰃊※󰂶※󰄅※󰁶☯jgsy※〕
昪	〔※󰃋※󰂙※󰂉※󰀬☯jcaj※〕
昫	〔※󰃊※󰃷※󰃏※󰀝☯jqkg※〕
昬	〔※󰁂※󰀁※󰃊※󰀘☯najf※〕
昭	〔※󰃊※󰄠※󰃏※󰀝☯jvkg※〕
昮	〔※󰃋※󰂆※󰂫※󰁣☯jaer※〕
是	〔※󰃋※󰂶※󰁾※󰁧☯jghu※〕
昰	〔※󰃋※󰂶※󰂾※󰀘☯jghf※〕
昱	〔※󰃋※󰄓※󰀘※※☯juf※〕
昲	〔※󰃊※󰄬※󰀯※󰀢☯jxjh※〕
昳	〔※󰃊※󰄋※󰂹※󰁶☯jtgy※〕
昴	〔※󰃋※󰁚※󰄋※󰂕☯jqtb※〕
昵	〔※󰃊※󰃡※󰄮※󰁀☯jnxn※〕
昶	〔※󰄼※󰂁※󰀩※󰃊☯ynij※〕
昷	〔※󰃋※󰃕※󰀘※※☯jlf※〕
昸	〔※󰃊※󰄐※󰁦※󰁶☯jtuy※〕
昹	〔※󰃊※󰄼※󰂁※󰀩☯jyni※〕
昺	〔※󰃋※󰂶※󰃜※󰄤☯jgmw※〕
昻	〔※󰃋※󰂆※󰂕※󰀬☯jabj※〕
昼	〔※󰃡※󰂃※󰃋※󰂶☯nyjg※〕
昽	〔※󰃊※󰁼※󰁳※󰄼☯jdxy※〕
显	〔※󰃋※󰃬※󰀘※※☯jof※〕
昿	〔※󰃊※󰃫※󰂙※󰁶☯jocy※〕
晀	〔※󰃊※󰃺※󰀪※󰁶☯jqiy※〕
晁	〔※󰃋※󰃺※󰀪※󰁧☯jqiu※〕
時	〔※󰃊※󰂮※󰂳※󰁶☯jffy※〕
晃	〔※󰃋※󰃆※󰂶※󰃺☯jigq※〕
晄	〔※󰃋※󰃆※󰂶※󰃺☯jigq※〕
晅	〔※󰃊※󰂶※󰃋※󰂶☯jgjg※〕
晆	〔※󰃊※󰂮※󰂮※󰀝☯jffg※〕
晇	〔※󰃊※󰂝※󰂭※󰁔☯jdfn※〕
晈	〔※󰃊※󰄘※󰄄※󰁶☯jury※〕
晉	〔※󰂶※󰂙※󰂙※󰃊☯gccj※〕
晊	〔※󰃊※󰂶※󰂙※󰂮☯jgcf※〕
晋	〔※󰂶※󰃬※󰃋※󰀘☯gojf※〕
晌	〔※󰃊※󰄋※󰃜※󰃏☯jtmk※〕
晍	〔※󰃊※󰃜※󰂶※󰃏☯jmgk※〕
晎	〔※󰃊※󰁺※󰄦※󰁶☯jawy※〕
晏	〔※󰃋※󰃰※󰄟※󰀘☯jpvf※〕
晐	〔※󰃊※󰄶※󰂂※󰄤☯jynw※〕
晑	〔※󰃋※󰄋※󰃜※󰃏☯jtmk※〕
晒	〔※󰃊※󰄇※󰀝※※☯jsg※〕
晓	〔※󰃊※󰀁※󰄋※󰃺☯jatq※〕
晔	〔※󰃊※󰄥※󰁳※󰂱☯jwxf※〕
晕	〔※󰃋※󰃱※󰃖※󰀬☯jplj※〕
晖	〔※󰃊※󰃱※󰃖※󰀢☯jplh※〕
晗	〔※󰃊※󰄤※󰄼※󰃏☯jwyk※〕
晘	〔※󰃊※󰃋※󰂰※󰀢☯jjfh※〕
晙	〔※󰃊※󰂙※󰄦※󰄐☯jcwt※〕
晚	〔※󰃊※󰃸※󰃏※󰁜☯jqkq※〕
晛	〔※󰃊※󰂼※󰃺※󰁀☯jhqn※〕
晜	〔※󰃋※󰄒※󰄬※󰄋☯juxt※〕
晝	〔※󰁬※󰂮※󰃋※󰂶☯vfjg※〕
晞	〔※󰃊※󰄄※󰁼※󰂺☯jrdh※〕
晟	〔※󰃋※󰂤※󰂁※󰀅☯jdnb※〕
晠	〔※󰃊※󰂤※󰂁※󰁀☯jdnn※〕
晡	〔※󰃊※󰄊※󰁶※※☯jsy※〕
晢	〔※󰃿※󰄀※󰃋※󰀘☯rrjf※〕
晣	〔※󰃊※󰃿※󰄀※󰀢☯jrrh※〕
晤	〔※󰃊※󰂸※󰃏※󰀝☯jgkg※〕
晥	〔※󰃊※󰃰※󰂭※󰃺☯jpfq※〕
晦	〔※󰃊※󰁿※󰄭※󰁶☯jtxy※〕
晧	〔※󰃊※󰄋※󰂮※󰃏☯jtfk※〕
晨	〔※󰃋※󰂡※󰂭※󰀖☯jdfe※〕
晩	〔※󰃊※󰃸※󰀱※󰁜☯jqjq※〕
晪	〔※󰃊※󰀿※󰁺※󰄦☯jmaw※〕
晫	〔※󰃊※󰀥※󰃌※󰀢☯jhjh※〕
晬	〔※󰃊※󰄶※󰄤※󰂱☯jywf※〕
晭	〔※󰃊※󰀼※󰂮※󰃏☯jmfk※〕
普	〔※󰄕※󰃬※󰃊※󰀘☯uojf※〕
景	〔※󰃋※󰁸※󰃅※󰁧☯jyiu※〕
晰	〔※󰃊※󰄅※󰄀※󰀢☯jsrh※〕
晱	〔※󰃊※󰃩※󰃩※󰁶☯jooy※〕
晲	〔※󰃊※󰂪※󰃺※󰁀☯jeqn※〕
晳	〔※󰄅※󰄀※󰃊※󰀘☯srjf※〕
晴	〔※󰃊※󰁽※󰂧※󰀝☯jgeg※〕
晵	〔※󰄼※󰃡※󰄏※󰃊☯yntj※〕
晶	〔※󰃊※󰃊※󰃊※󰀘☯jjjf※〕
晷	〔※󰃋※󰄐※󰂿※󰃏☯jthk※〕
晸	〔※󰃋※󰂶※󰂾※󰄏☯jght※〕
晹	〔※󰃊※󰃋※󰃷※󰁤☯jjqr※〕
智	〔※󰁿※󰂝※󰃏※󰃊☯tdkj※〕
晻	〔※󰃊※󰂝※󰃋※󰄻☯jdjn※〕
晼	〔※󰃊※󰃰※󰃹※󰂑☯jpqb※〕
晽	〔※󰃊※󰄅※󰄅※󰁶☯jssy※〕
晾	〔※󰃊※󰁸※󰃅※󰁶☯jyiy※〕
晿	〔※󰃊※󰃋※󰃋※󰀝☯jjjg※〕
暀	〔※󰃊※󰄎※󰄼※󰂷☯jtyg※〕
暁	〔※󰃊※󰂱※󰄖※󰃺☯jfaq※〕
暂	〔※󰃖※󰄀※󰃋※󰀘☯lrjf※〕
暃	〔※󰃋※󰂺※󰂜※󰂜☯jhdd※〕
暄	〔※󰃊※󰃰※󰂶※󰂶☯jpgg※〕
暅	〔※󰃊※󰃣※󰂶※󰂶☯jngg※〕
暆	〔※󰃊※󰄸※󰁿※󰂓☯jytb※〕
暇	〔※󰃊※󰁃※󰂺※󰂘☯jnhc※〕
暈	〔※󰃋※󰃱※󰃗※󰀬☯jplj※〕
暉	〔※󰃊※󰃱※󰃗※󰀢☯jplh※〕
暊	〔※󰃊※󰂢※󰃛※󰁶☯jdmy※〕
暋	〔※󰁂※󰀁※󰄏※󰃊☯natj※〕
暌	〔※󰃊※󰄧※󰂶※󰂝☯jwgd※〕
暍	〔※󰃊※󰃋※󰃷※󰄃☯jjqn※〕
暎	〔※󰃊※󰄖※󰀿※󰂝☯jamd※〕
暏	〔※󰃊※󰂮※󰄋※󰃊☯jftj※〕
暐	〔※󰃊※󰁆※󰃏※󰂅☯jnkg※〕
暑	〔※󰃋※󰂮※󰄋※󰃋☯jftj※〕
暒	〔※󰃊※󰃋※󰄋※󰁽☯jjtg※〕
暓	〔※󰁻※󰃦※󰂻※󰃊☯cnhj※〕
暔	〔※󰃊※󰂱※󰃜※󰂱☯jfmf※〕
暕	〔※󰃊※󰄅※󰀹※󰀝☯jslg※〕
暖	〔※󰃊※󰂦※󰂶※󰂘☯jegc※〕
暗	〔※󰃊※󰄓※󰃋※󰀝☯jujg※〕
暘	〔※󰃊※󰃋※󰂶※󰁤☯jjgr※〕
暙	〔※󰃊※󰂜※󰄤※󰃊☯jdwj※〕
暚	〔※󰃊※󰂦※󰁿※󰂔☯jetb※〕
暛	〔※󰃊※󰄝※󰂆※󰀝☯juag※〕
暜	〔※󰄓※󰄓※󰃋※󰀘☯uujf※〕
暝	〔※󰃊※󰃱※󰃋※󰄘☯jpju※〕
暞	〔※󰃊※󰄋※󰂼※󰄅☯jths※〕
暟	〔※󰃊※󰃘※󰂶※󰄕☯jmgu※〕
暠	〔※󰃋※󰁸※󰃜※󰃏☯jymk※〕
暡	〔※󰃊※󰄦※󰂙※󰃥☯jwcn※〕
暢	〔※󰃋※󰂺※󰃊※󰁤☯jhjr※〕
暣	〔※󰃊※󰄂※󰃪※󰁶☯jroy※〕
暤	〔※󰃊※󰃽※󰂝※󰂱☯jrdf※〕
暥	〔※󰃊※󰃋※󰃰※󰄟☯jjpv※〕
暦	〔※󰂡※󰄅※󰄅※󰃋☯dssj※〕
暧	〔※󰃊※󰂦※󰃱※󰂘☯jepc※〕
暨	〔※󰁮※󰀄※󰁜※󰂶☯vaqg※〕
暩	〔※󰃊※󰁯※󰂭※󰃅☯jwfi※〕
暪	〔※󰃊※󰂊※󰃜※󰂃☯jamy※〕
暫	〔※󰃗※󰄀※󰃋※󰀘☯lrjf※〕
暬	〔※󰂮※󰄦※󰂮※󰃊☯fwfj※〕
暭	〔※󰃊※󰃽※󰀪※󰂱☯jrif※〕
暮	〔※󰄖※󰃋※󰂝※󰃊☯ajdj※〕
暯	〔※󰃊※󰄖※󰃋※󰂝☯jajd※〕
暰	〔※󰃊※󰄎※󰄤※󰁾☯jtwh※〕
暱	〔※󰃊※󰂋※󰄖※󰃏☯jaak※〕
暲	〔※󰃊※󰄓※󰃌※󰀢☯jujh※〕
暳	〔※󰃊※󰂜※󰂺※󰄢☯jdhv※〕
暴	〔※󰃋※󰁺※󰄦※󰃃☯jawi※〕
暵	〔※󰃊※󰂊※󰃏※󰂹☯jakg※〕
暶	〔※󰃊※󰄸※󰁿※󰁾☯jyth※〕
暷	〔※󰃊※󰂶※󰃋※󰂳☯jgjf※〕
暸	〔※󰃊※󰂝※󰄒※󰃅☯jdui※〕
暹	〔※󰃋※󰄥※󰁷※󰃮☯jwyp※〕
暺	〔※󰃊※󰃏※󰃏※󰂱☯jkkf※〕
暻	〔※󰃊※󰃋※󰁸※󰃅☯jjyi※〕
暼	〔※󰃇※󰄏※󰃋※󰀘☯itjf※〕
暽	〔※󰃊※󰃪※󰃹※󰂅☯joqg※〕
暾	〔※󰃊※󰁸※󰂎※󰄏☯jybt※〕
暿	〔※󰃊※󰂯※󰃏※󰃏☯jfkk※〕
曀	〔※󰃊※󰂯※󰃱※󰄕☯jfpu※〕
曁	〔※󰃽※󰄮※󰀄※󰂶☯rxag※〕
曂	〔※󰃊※󰁺※󰃙※󰄦☯jamw※〕
曃	〔※󰃊※󰁬※󰃃※󰃮☯jvip※〕
曄	〔※󰃊※󰄖※󰂶※󰀟☯jagg※〕
曅	〔※󰃋※󰄖※󰂶※󰀟☯jagg※〕
曆	〔※󰂡※󰄌※󰄌※󰃋☯dttj※〕
曇	〔※󰃋※󰀙※󰂭※󰂙☯jffc※〕
曈	〔※󰃊※󰄓※󰃋※󰂮☯jujf※〕
曉	〔※󰃊※󰂮※󰂮※󰃺☯jffq※〕
曊	〔※󰃊※󰄬※󰀯※󰃛☯jxjm※〕
曋	〔※󰃊※󰄈※󰃌※󰀢☯jsjh※〕
曌	〔※󰃊※󰂧※󰃰※󰂆☯jepa※〕
曍	〔※󰃊※󰄋※󰂼※󰂱☯jthf※〕
曎	〔※󰃊※󰃔※󰂮※󰂱☯jlff※〕
曏	〔※󰃋※󰁲※󰄋※󰂏☯jxtb※〕
曐	〔※󰃋※󰃋※󰃋※󰁽☯jjjg※〕
曑	〔※󰃋※󰃋※󰃋※󰂥☯jjje※〕
曒	〔※󰃊※󰃽※󰄸※󰄏☯jryt※〕
曓	〔※󰃋※󰂔※󰃘※󰂱☯jbmf※〕
曔	〔※󰃊※󰄖※󰃷※󰄏☯jaqt※〕
曕	〔※󰃊※󰃸※󰂡※󰄳☯jqdy※〕
曖	〔※󰃊※󰂦※󰃱※󰄐☯jept※〕
曗	〔※󰃊※󰃬※󰄕※󰂵☯jouf※〕
曘	〔※󰃊※󰀙※󰂢※󰀭☯jfdj※〕
曙	〔※󰃊※󰃔※󰂮※󰃋☯jlfj※〕
曚	〔※󰃊※󰄖※󰃱※󰀓☯jape※〕
曛	〔※󰃊※󰄋※󰂶※󰃨☯jtgo※〕
曜	〔※󰃊※󰃥※󰄥※󰁷☯jnwy※〕
曝	〔※󰃊※󰃋※󰁺※󰃃☯jjai※〕
曞	〔※󰃊※󰂡※󰄖※󰄼☯jday※〕
曟	〔※󰃊※󰃊※󰃊※󰀖☯jjje※〕
曠	〔※󰃊※󰃫※󰁺※󰄦☯joaw※〕
曡	〔※󰃊※󰃊※󰃊※󰂶☯jjjg※〕
曢	〔※󰃊※󰃰※󰂝※󰃅☯jpdi※〕
曣	〔※󰃊※󰂊※󰃏※󰃨☯jako※〕
曤	〔※󰃊※󰀙※󰄥※󰁷☯jfwy※〕
曥	〔※󰃊※󰃀※󰃐※󰃕☯jhll※〕
曦	〔※󰃊※󰄒※󰂷※󰄼☯jugy※〕
曧	〔※󰃋※󰂶※󰃏※󰃍☯jgkj※〕
曨	〔※󰃊※󰄓※󰂧※󰂜☯jued※〕
曩	〔※󰃋※󰄶※󰃏※󰀔☯jyke※〕
曪	〔※󰃊※󰃔※󰄫※󰁷☯jlxy※〕
曫	〔※󰄴※󰄫※󰄫※󰃊☯yxxj※〕
曬	〔※󰃊※󰂶※󰀿※󰄮☯jgmx※〕
曭	〔※󰃊※󰃆※󰃱※󰃨☯jipo※〕
曮	〔※󰃊※󰃏※󰃏※󰄏☯jkkt※〕
曯	〔※󰃊※󰃡※󰃃※󰃍☯jnij※〕
曰	〔※󰃋※󰂺※󰁈※󰂶☯jhng※〕
曱	〔※󰀿※󰂰※󰀵※※☯mfk※〕
曲	〔※󰀿※󰁺※󰀌※※☯mad※〕
曳	〔※󰃋※󰁒※󰄋※󰀏☯jnte※〕
更	〔※󰂶※󰃋※󰄄※󰀦☯gjri※〕
曵	〔※󰃋※󰁒※󰄋※󰄼☯jnty※〕
曶	〔※󰃷※󰁤※󰃊※󰀘☯qrjf※〕
曷	〔※󰃋※󰃷※󰄤※󰄃☯jqwn※〕
書	〔※󰁬※󰂮※󰃋※󰀘☯vfjf※〕
曹	〔※󰂶※󰀿※󰁺※󰃋☯gmaj※〕
曺	〔※󰂶※󰃙※󰃋※󰀘☯gmjf※〕
曻	〔※󰃋※󰃹※󰂅※󰀬☯jqgj※〕
曼	〔※󰃋※󰃔※󰂘※󰁧☯jlcu※〕
曽	〔※󰄒※󰃐※󰃊※󰀘☯uljf※〕
