⺁	〔※󰃼※󰄋※󰄋※☯rtt☯※〕
瑩	〔※󰃩※󰃩※󰃱※󰄼☯oopy☯yíng※〕
瑪	〔※󰂷※󰀋※󰃨※󰁶☯gcoy☯mǎ※〕
瑫	〔※󰂷※󰂦※󰂪※󰀝☯geeg☯tāo※〕
瑬	〔※󰃁※󰄶※󰂙※󰄼☯iycy☯liú※〕
瑭	〔※󰂷※󰃫※󰁬※󰃏☯govk☯táng※〕
瑮	〔※󰂷※󰄈※󰄅※󰁶☯gssy☯lì※〕
瑯	〔※󰂷※󰄼※󰁮※󰂏☯gyvb☯láng※〕
瑰	〔※󰂷※󰃽※󰁜※󰂙☯grqc☯guī※〕
瑱	〔※󰂷※󰂱※󰀣※󰄦☯gfhw☯tiàn※tián※zhèn※〕
瑲	〔※󰂷※󰄤※󰄼※󰃏☯gwyk☯qiāng※cāng※〕
瑳	〔※󰂷※󰄝※󰂆※󰀝☯guag☯cuō※〕
瑴	〔※󰂯※󰃱※󰂶※󰂘☯fpgc☯jué※〕
瑵	〔※󰂷※󰂘※󰄼※󰃍☯gcyj☯zhǎo※〕
瑶	〔※󰂷※󰂦※󰁿※󰂔☯getb☯yáo※〕
瑷	〔※󰂷※󰂦※󰃱※󰂘☯gepc☯ài※〕
瑸	〔※󰂷※󰃰※󰄁※󰄦☯gprw☯bīn※pián※〕
瑹	〔※󰂷※󰄖※󰄤※󰄉☯gaws☯tú※shū※〕
瑺	〔※󰂷※󰃆※󰃱※󰂺☯giph☯cháng※〕
瑻	〔※󰂷※󰄯※󰃛※󰁶☯gxmy☯kūn※〕
瑼	〔※󰂷※󰂶※󰃋※󰂳☯ggjf☯zhuān※〕
瑽	〔※󰂷※󰄎※󰄤※󰁾☯gtwh☯cōng※〕
瑾	〔※󰂷※󰂊※󰃏※󰁽☯gakg☯jǐn※〕
瑿	〔※󰂋※󰁿※󰂝※󰄼☯atdy☯yī※〕
璀	〔※󰂷※󰃘※󰄥※󰁷☯gmwy☯cuǐ※〕
璁	〔※󰂷※󰄋※󰃒※󰃢☯gtln☯cōng※〕
璂	〔※󰂷※󰀎※󰄦※󰂮☯gdwf☯qí※〕
璃	〔※󰂷※󰄶※󰄄※󰂙☯gyrc☯lí※〕
璄	〔※󰂷※󰄓※󰃋※󰃺☯gujq☯jǐng※〕
璅	〔※󰂷※󰄞※󰃋※󰄅☯gvjs☯zǎo※suǒ※〕
璆	〔※󰂷※󰃥※󰄤※󰂥☯gnwe☯qiú※〕
璇	〔※󰂷※󰄸※󰁿※󰁾☯gyth☯xuán※〕
璈	〔※󰂷※󰁽※󰁡※󰄏☯ggqt☯áo※〕
璉	〔※󰂷※󰃗※󰃮※󰁶☯glpy☯liǎn※〕
璊	〔※󰂷※󰂊※󰃜※󰄼☯gamy☯mén※〕
璋	〔※󰂷※󰄓※󰃌※󰀢☯gujh☯zhāng※〕
璌	〔※󰂷※󰃰※󰂶※󰄦☯gpgw☯yín※〕
璍	〔※󰂷※󰄖※󰂶※󰀟☯gagg☯yè※〕
璎	〔※󰂷※󰃚※󰃚※󰄟☯gmmv☯yīng※〕
璏	〔※󰂷※󰄰※󰁴※󰄮☯gxxx☯zhì※〕
璐	〔※󰂷※󰃏※󰂾※󰃏☯gkhk☯lù※〕
璑	〔※󰂷※󰁿※󰂶※󰃨☯gtgo☯wú※〕
璒	〔※󰂷※󰄧※󰂶※󰄕☯gwgu☯dēng※〕
璓	〔※󰂷※󰄖※󰄌※󰂖☯gatb☯xiù※〕
璔	〔※󰂷※󰄒※󰀺※󰃊☯gulj☯zēng※〕
璕	〔※󰂷※󰄢※󰂆※󰂳☯gvaf☯xún※〕
璖	〔※󰂷※󰃁※󰂋※󰄅☯gias☯qú※〕
璗	〔※󰃁※󰃋※󰂶※󰄼☯ijgy☯dàng※〕
璘	〔※󰂷※󰃪※󰃹※󰂅☯goqg☯lín※〕
璙	〔※󰂷※󰂝※󰄒※󰃅☯gdui☯liáo※〕
璚	〔※󰂷※󰁻※󰃦※󰃏☯gcnk☯qióng※jué※〕
璛	〔※󰂷※󰁬※󰂱※󰀲☯gvfj☯sù※〕
璜	〔※󰂷※󰁺※󰃙※󰄦☯gamw☯huáng※〕
璝	〔※󰂷※󰃏※󰂺※󰃛☯gkhm☯guī※〕
璞	〔※󰂷※󰃬※󰄕※󰂹☯goug☯pú※〕
璟	〔※󰂷※󰃋※󰁸※󰃅☯gjyi☯jǐng※〕
璠	〔※󰂷※󰄋※󰃪※󰃐☯gtol☯fán※〕
璡	〔※󰂷※󰄥※󰁷※󰃮☯gwyp☯jīn※〕
璢	〔※󰂷※󰂶※󰀭※󰃐☯ggjl☯liú※〕
璣	〔※󰂷※󰄩※󰄩※󰄤☯gxxw☯jī※〕
璤	〔※󰂷※󰂶※󰃋※󰃢☯ggjn☯huì※〕
璥	〔※󰂷※󰄖※󰃷※󰄏☯gaqt☯jǐng※〕
璦	〔※󰂷※󰂦※󰃱※󰄐☯gept☯ài※〕
璧	〔※󰃡※󰃏※󰄔※󰄼☯nkuy☯bì※〕
璨	〔※󰂷※󰀥※󰃹※󰃪☯ghqo☯càn※〕
璩	〔※󰂷※󰃀※󰂶※󰀓☯ghge☯qú※〕
璪	〔※󰂷※󰃏※󰃏※󰄅☯gkks☯zǎo※〕
璫	〔※󰂷※󰃆※󰃱※󰃐☯gipl☯dāng※〕
璬	〔※󰂷※󰃽※󰄸※󰄏☯gryt☯jiǎo※〕
璭	〔※󰂷※󰃱※󰃗※󰃮☯gplp☯guǎn※〕
璮	〔※󰂷※󰄶※󰃒※󰂶☯gylg☯tǎn※〕
璯	〔※󰂷※󰄤※󰂶※󰃊☯gwgj☯huì※kuài※〕
環	〔※󰂷※󰃔※󰂶※󰀔☯glge☯huán※〕
璱	〔※󰂷※󰂷※󰂷※󰄋☯gggt☯sè※〕
璲	〔※󰂷※󰄕※󰀓※󰃮☯guep☯suì※〕
璳	〔※󰂷※󰄋※󰂵※󰃛☯gtfm☯tián※〕
璴	〔※󰂷※󰄅※󰄅※󰁾☯gssh☯chǔ※〕
璵	〔※󰂷※󰀗※󰂶※󰄦☯gegw☯yú※〕
璶	〔※󰂷※󰁬※󰂺※󰃕☯gvhl☯jìn※〕
璷	〔※󰂷※󰄊※󰄸※󰄏☯gsyt☯lú※fū※〕
璸	〔※󰂷※󰃰※󰂶※󰃛☯gpgm☯bīn※pián※〕
璹	〔※󰂷※󰂯※󰃦※󰂳☯gfnf☯shú※〕
璺	〔※󰀗※󰀿※󰂶※󰄼☯emgy☯wèn※〕
璻	〔※󰂷※󰃥※󰄶※󰂱☯gnyf☯zuǐ※〕
璼	〔※󰂷※󰂋※󰂺※󰃕☯gahl☯lán※〕
璽	〔※󰂶※󰄦※󰃜※󰄼☯gwmy☯xǐ※〕
璾	〔※󰂷※󰀴※󰀳※󰀝☯gyjg☯jì※zī※〕
璿	〔※󰂷※󰀥※󰃱※󰂼☯ghph☯xuán※〕
瓀	〔※󰂷※󰀙※󰂢※󰀭☯gfdj☯ruǎn※〕
瓁	〔※󰂷※󰄖※󰄥※󰂘☯gawc☯wò※〕
瓂	〔※󰂷※󰄖※󰂮※󰃕☯gafl☯gài※〕
瓃	〔※󰂷※󰃐※󰃐※󰃐☯glll☯léi※〕
瓄	〔※󰂷※󰂯※󰃔※󰃛☯gflm☯dú※〕
瓅	〔※󰂷※󰃽※󰄩※󰄅☯grxs☯lì※〕
瓆	〔※󰂷※󰄀※󰄀※󰃛☯grrm☯zhì※〕
瓇	〔※󰂷※󰂢※󰀐※󰄐☯gdet☯róu※〕
瓈	〔※󰂷※󰄌※󰃷※󰃃☯gtqi☯lí※〕
瓉	〔※󰂷※󰂹※󰂹※󰃛☯gggm☯zàn※〕
瓊	〔※󰂷※󰃸※󰀿※󰄐☯gqmt☯qióng※〕
瓋	〔※󰂷※󰄶※󰄒※󰃮☯gyup☯tì※〕
瓌	〔※󰂷※󰄶※󰃔※󰀔☯gyle☯guī※〕
瓍	〔※󰂷※󰂏※󰁼※󰃮☯gbdp☯suí※〕
瓎	〔※󰂷※󰄅※󰃏※󰃛☯gskm☯là※〕
瓏	〔※󰂷※󰄓※󰂧※󰂜☯gued☯lóng※〕
瓐	〔※󰂷※󰃀※󰃐※󰃕☯ghll☯lú※〕
瓑	〔※󰂷※󰂡※󰄌※󰂾☯gdth☯lì※〕
瓒	〔※󰂷※󰄋※󰂮※󰃚☯gtfm☯zàn※〕
瓓	〔※󰂷※󰄚※󰄅※󰀹☯gusl☯làn※〕
瓔	〔※󰂷※󰃛※󰃛※󰄟☯gmmv☯yīng※〕
瓕	〔※󰄬※󰂶※󰄦※󰄼☯xgwy☯mí※xǐ※〕
瓖	〔※󰂷※󰄶※󰃏※󰀔☯gyke☯xiāng※〕
瓗	〔※󰂷※󰃘※󰄥※󰃏☯gmwk☯qióng※wěi※wèi※〕
瓘	〔※󰂷※󰄖※󰃏※󰁷☯gaky☯guàn※〕
瓙	〔※󰂷※󰂯※󰃦※󰃨☯gfno☯dào※〕
瓚	〔※󰂷※󰄋※󰂮※󰃛☯gtfm☯zàn※〕
瓛	〔※󰂷※󰃀※󰂶※󰂣☯ghgd☯huán※yè※yà※〕
瓜	〔※󰃼※󰂙※󰂃※󰀦☯rcyi☯guā※〕
瓝	〔※󰃼※󰂙※󰂃※󰄼☯rcyy☯bó※〕
瓞	〔※󰃼※󰂙※󰂃※󰂹☯rcyg☯dié※〕
瓟	〔※󰃼※󰂙※󰂃※󰃠☯rcyn☯bó※páo※〕
瓠	〔※󰂝※󰂭※󰁔※󰂃☯dfny☯hù※〕
瓡	〔※󰂮※󰄕※󰂱※󰂃☯fufy☯zhí※hú※〕
瓢	〔※󰄈※󰂭※󰃅※󰂃☯sfiy☯piáo※〕
瓣	〔※󰄔※󰃼※󰂙※󰄔☯urcu☯bàn※〕
瓤	〔※󰄶※󰃏※󰃏※󰂃☯ykky☯ráng※〕
瓥	〔※󰃼※󰂙※󰂃※󰃍☯rcyj☯lì※〕
瓦	〔※󰂶※󰁐※󰁊※󰄼☯gnny☯wǎ※wà※〕
瓧	〔※󰂶※󰁐※󰁊※󰂱☯gnnf☯shíwǎ※〕
瓨	〔※󰂆※󰂶※󰁐※󰄼☯agny☯xiáng※hóng※〕
瓩	〔※󰂶※󰁐※󰁊※󰂱☯gnnf☯qiānwǎ※〕
瓪	〔※󰂶※󰁐※󰁊※󰂘☯gnnc☯bǎn※〕
瓫	〔※󰄦※󰄠※󰂶※󰄼☯wvgy☯pén※〕
瓬	〔※󰄸※󰂶※󰁐※󰄼☯ygny☯fǎng※〕
瓭	〔※󰃱※󰁜※󰂶※󰄼☯pqgy☯dǎn※〕
瓮	〔※󰄦※󰂙※󰂶※󰄼☯wcgy☯wèng※〕
瓯	〔※󰂋※󰄄※󰂶※󰄼☯argy☯ōu※〕
瓰	〔※󰂶※󰁐※󰁊※󰄠☯gnnv☯fēnwǎ※〕
瓱	〔※󰂶※󰁐※󰁊※󰂬☯gnne☯máowǎ※〕
瓲	〔※󰂶※󰁐※󰁊※󰄻☯gnnn☯túnwǎ※〕
瓳	〔※󰂟※󰂶※󰁐※󰄼☯dgny☯hú※〕
瓴	〔※󰄤※󰄼※󰁻※󰄼☯wycy☯líng※〕
瓵	〔※󰂙※󰃏※󰂶※󰄼☯ckgy☯yí※〕
瓶	〔※󰄕※󰂉※󰂶※󰄼☯uagy☯píng※〕
瓷	〔※󰄑※󰄾※󰄤※󰄼☯uqwy☯cí※〕
瓸	〔※󰂶※󰁐※󰁊※󰃊☯gnnj☯bǎi※wǎ※〕
瓹	〔※󰃏※󰂧※󰂶※󰄼☯kegy☯juàn※juān※〕
瓺	〔※󰂞※󰂶※󰁐※󰄼☯dgny☯cháng※〕
瓻	〔※󰄄※󰁼※󰃜※󰄼☯rdmy☯chī※〕
瓼	〔※󰂶※󰁐※󰁊※󰂮☯gnnf☯lǐwǎ※〕
瓽	〔※󰃆※󰃱※󰃏※󰄼☯ipky☯dàng※〕
瓾	〔※󰄌※󰄟※󰂶※󰄼☯tvgy☯wā※〕
瓿	〔※󰄓※󰃏※󰂶※󰄼☯ukgy☯bù※〕
甀	〔※󰄋※󰂯※󰁺※󰄼☯tfay☯zhuì※〕
甁	〔※󰄋※󰂶※󰁼※󰄼☯tgdy☯píng※〕
甂	〔※󰄼※󰃡※󰃜※󰄼☯ynmy☯biān※〕
甃	〔※󰄌※󰃩※󰂶※󰄼☯togy☯zhòu※〕
甄	〔※󰄈※󰂮※󰂶※󰄼☯sfgy☯zhēn※〕
甅	〔※󰂶※󰁐※󰁊※󰂮☯gnnf☯líwǎ※〕
甆	〔※󰄕※󰄩※󰄩※󰄼☯uxxy☯cí※〕
甇	〔※󰃩※󰃩※󰃱※󰄼☯oopy☯yīng※〕
甈	〔※󰄋※󰂼※󰄅※󰄼☯thsy☯qì※〕
甉	〔※󰄕※󰁬※󰀭※󰄼☯uvjy☯xián※〕
甊	〔※󰀻※󰄟※󰂶※󰄼☯lvgy☯lǒu※〕
甋	〔※󰄶※󰄒※󰃜※󰄼☯yumy☯dì※〕
甌	〔※󰂋※󰃏※󰃏※󰄼☯akky☯ōu※〕
甍	〔※󰄖※󰃔※󰃱※󰄼☯alpy☯méng※〕
甎	〔※󰂶※󰃋※󰂺※󰄼☯gjhy☯zhuān※〕
甏	〔※󰂯※󰃏※󰄕※󰄼☯fkuy☯bèng※〕
甐	〔※󰃪※󰃹※󰂅※󰄼☯oqgy☯lìn※〕
甑	〔※󰄒※󰀺※󰃊※󰄼☯uljy☯zèng※〕
甒	〔※󰁿※󰂶※󰀷※󰄼☯tgly☯wǔ※〕
甓	〔※󰃡※󰃏※󰄔※󰄼☯nkuy☯pì※〕
甔	〔※󰃸※󰂡※󰄦※󰄼☯qdwy☯dān※〕
甕	〔※󰄶※󰁲※󰄋※󰄼☯yxty☯wèng※〕
甖	〔※󰃛※󰃛※󰂶※󰄼☯mmgy☯yīng※〕
甗	〔※󰃀※󰂶※󰃏※󰄼☯hgky☯yǎn※〕
甘	〔※󰂴※󰂶※󰂺※󰂶☯fghg☯gān※〕
甙	〔※󰀁※󰂴※󰄼※󰀦☯afyi☯dài※〕
甚	〔※󰀎※󰄦※󰄃※󰀅☯dwnb☯shèn※shén※〕
甛	〔※󰂴※󰄋※󰂟※󰀝☯ftdg☯tián※〕
甜	〔※󰄋※󰂟※󰂴※󰀝☯tdfg☯tián※〕
甝	〔※󰃀※󰄨※󰂴※󰀌☯hwfd☯hán※〕
甞	〔※󰃆※󰃱※󰃏※󰂴☯ipkf☯cháng※〕
生	〔※󰄋※󰁽※󰀌※☯tgd☯shēng※〕
甠	〔※󰃊※󰄋※󰁽※󰀝☯jtgg☯qíng※〕
甡	〔※󰄋※󰁽※󰄋※󰁽☯tgtg☯shēn※〕
產	〔※󰄷※󰂡※󰄋※󰁽☯ydtg☯chǎn※〕
産	〔※󰄓※󰄋※󰄋※󰁽☯uttg☯chǎn※〕
甤	〔※󰂶※󰀓※󰄋※󰁽☯getg☯ruí※〕
甥	〔※󰄋※󰁽※󰃐※󰂫☯tgle☯shēng※〕
甦	〔※󰂶※󰃋※󰄄※󰁽☯gjrg☯sū※〕
甧	〔※󰄋※󰁽※󰄋※󰂧☯tgte☯shēn※〕
用	〔※󰂨※󰄋※󰂁※󰂺☯etnh☯yòng※〕
甩	〔※󰂧※󰄻※󰁫※☯env☯shuǎi※〕
甪	〔※󰄋※󰂨※󰀵※☯tek☯lù※〕
甫	〔※󰄊※󰂶※󰂺※󰄼☯sghy☯fǔ※〕
甬	〔※󰁻※󰀒※󰀬※☯cej☯yǒng※〕
甭	〔※󰂢※󰂿※󰂨※󰀬☯dhej☯béng※〕
甮	〔※󰃷※󰁤※󰂨※󰀬☯qrej☯béng※〕
甯	〔※󰃰※󰃢※󰀒※󰀬☯pnej☯níng※nìng※〕
田	〔※󰃐※󰃐※󰃐※󰃐☯llll☯tián※〕
由	〔※󰃙※󰂺※󰁈※󰂶☯mhng☯yóu※〕
甲	〔※󰃑※󰂺※󰁈※󰂺☯lhnh☯jiǎ※〕
申	〔※󰃋※󰂺※󰀵※☯jhk☯shēn※〕
甴	〔※󰀿※󰂺※󰂭※󰀌☯mhfd☯yóu※zhá※〕
电	〔※󰃋※󰄻※󰁫※☯jnv☯diàn※〕
甶	〔※󰄋※󰃐※󰀌※☯tld☯fú※〕
男	〔※󰃐※󰂫※󰁣※☯ler☯nán※〕
甸	〔※󰃷※󰃐※󰀌※☯qld☯diàn※tián※shèng※〕
甹	〔※󰃙※󰂶※󰁔※󰀅☯mgnb☯pīng※〕
町	〔※󰃐※󰄆※󰀢※☯lsh☯tǐng※dīng※〕
画	〔※󰂶※󰃐※󰂔※󰀬☯glbj☯huà※〕
甼	〔※󰃐※󰄆※󰀬※☯lsj☯tǐng※dīng※〕
甽	〔※󰃐※󰃎※󰀢※☯lkh☯zhèn※〕
甾	〔※󰄞※󰃐※󰀘※☯vlf☯zāi※zī※〕
甿	〔※󰃐※󰄶※󰄃※󰁀☯lynn☯méng※〕
畀	〔※󰃐※󰂶※󰀯※󰀬☯lgjj☯bì※〕
畁	〔※󰃙※󰂶※󰀯※󰀬☯mgjj☯bì※qí※〕
畂	〔※󰃐※󰁛※󰂃※󰁶☯lqyy☯mǔ※〕
畃	〔※󰃋※󰂺※󰃷※󰄼☯jhqy☯xún※〕
畄	〔※󰀧※󰃐※󰀘※☯ilf☯liú※〕
畅	〔※󰃋※󰂺※󰁍※󰁤☯jhnr☯chàng※〕
畆	〔※󰄶※󰃐※󰂙※󰁶☯ylcy☯mǔ※〕
畇	〔※󰃐※󰃷※󰄑※󰀝☯lqug☯yún※〕
畈	〔※󰃐※󰃼※󰂘※󰁶☯lrcy☯fàn※〕
畉	〔※󰃐※󰂹※󰁶※☯lgy☯fú※〕
畊	〔※󰃐※󰂭※󰀯※󰀢☯lfjh☯gēng※〕
畋	〔※󰃐※󰄏※󰁶※☯lty☯tián※〕
界	〔※󰃐※󰄤※󰀯※󰀬☯lwjj☯jiè※〕
畍	〔※󰃐※󰄤※󰀯※󰀢☯lwjh☯jiè※〕
畎	〔※󰃐※󰂣※󰁶※☯ldy☯quǎn※〕
畏	〔※󰃐※󰂶※󰀖※󰁧☯lgeu☯wèi※〕
畐	〔※󰂶※󰃏※󰃐※󰀘☯gklf☯fú※bì※〕
畑	〔※󰃩※󰃐※󰀝※☯olg☯tián※〕
畒	〔※󰄶※󰃐※󰄤※󰁶☯ylwy☯mǔ※〕
畓	〔※󰃂※󰃐※󰀘※☯ilf☯duō※〕
畔	〔※󰃐※󰄒※󰀟※󰀢☯lugh☯pàn※〕
畕	〔※󰃐※󰃐※󰀘※☯llf☯jiāng※〕
畖	〔※󰃐※󰃼※󰂙※󰂃☯lrcy☯wā※〕
畗	〔※󰁸※󰃐※󰀘※☯ylf☯dá※fú※〕
畘	〔※󰃐※󰃜※󰂮※󰀝☯lmfg☯nán※〕
留	〔※󰁚※󰄼※󰄠※󰃐☯qyvl☯liú※〕
畚	〔※󰂙※󰂝※󰃐※󰀘☯cdlf☯běn※〕
畛	〔※󰃐※󰄤※󰂥※󰁥☯lwet☯zhěn※〕
畜	〔※󰄶※󰄩※󰃐※󰀘☯yxlf☯xù※chù※〕
畝	〔※󰄶※󰃐※󰁛※󰂃☯ylqy☯mǔ※〕
畞	〔※󰂱※󰃐※󰁛※󰂃☯flqy☯mǔ※〕
畟	〔※󰃐※󰄦※󰄐※󰁧☯lwtu☯cè※jì※〕
畠	〔※󰃽※󰃐※󰀘※☯rlf☯zāi※zī※〕
畡	〔※󰃐※󰄶※󰂂※󰄤☯lynw☯gāi※〕
畢	〔※󰃋※󰄖※󰀟※󰀵☯jagk☯bì※〕
畣	〔※󰄤※󰂶※󰃏※󰃐☯wgkl☯dá※〕
畤	〔※󰃐※󰂮※󰂳※󰁶☯lffy☯zhì※chóu※shì※〕
略	〔※󰃐※󰄐※󰃏※󰀝☯ltkg☯lüè※〕
畦	〔※󰃐※󰂮※󰂮※󰀝☯lffg☯qí※〕
畧	〔※󰃐※󰄐※󰃏※󰀘☯ltkf☯lüè※〕
畨	〔※󰃪※󰃐※󰀘※☯olf☯fān※pān※〕
畩	〔※󰃐※󰄶※󰀔※󰁶☯lyey☯yī※〕
番	〔※󰄋※󰃪※󰃐※󰀘☯tolf☯fān※pān※〕
畫	〔※󰁬※󰂮※󰃐※󰂶☯vflg☯huà※〕
畬	〔※󰄤※󰂶※󰄉※󰃐☯wgsl☯shē※yú※〕
畭	〔※󰃐※󰄤※󰂶※󰄉☯lwgs☯shē※〕
畮	〔※󰃐※󰁿※󰄭※󰁶☯ltxy☯mǔ※〕
畯	〔※󰃐※󰂙※󰄦※󰄐☯lcwt☯jùn※〕
異	〔※󰃐※󰁺※󰄦※󰁧☯lawu☯yì※〕
畱	〔※󰂶※󰀭※󰂋※󰃐☯gjal☯liú※〕
畲	〔※󰄤※󰂭※󰃅※󰃐☯wfil☯shē※〕
畳	〔※󰃐※󰃱※󰀐※󰂶☯lpeg☯dié※〕
畴	〔※󰃐※󰂜※󰄋※󰂳☯ldtf☯chóu※〕
畵	〔※󰁬※󰂮※󰃐※󰂔☯vflb☯huà※〕
當	〔※󰃆※󰃱※󰃏※󰃐☯ipkl☯dāng※dàng※dǎng※〕
畷	〔※󰃐※󰂘※󰂘※󰂘☯lccc☯zhuì※〕
畸	〔※󰃐※󰂝※󰄆※󰃏☯ldsk☯jī※〕
畹	〔※󰃐※󰃰※󰃹※󰂑☯lpqb☯wǎn※〕
畺	〔※󰂶※󰃐※󰂶※󰂶☯glgg☯jiāng※jiàng※〕
畻	〔※󰃐※󰄒※󰂹※󰂮☯lugf☯chéng※〕
畼	〔※󰃐※󰃊※󰂶※󰁤☯ljgr☯chàng※〕
畽	〔※󰃐※󰄋※󰂶※󰂮☯ltgf☯tuǎn※〕
畾	〔※󰃐※󰃐※󰃐※󰀘☯lllf☯léi※〕
畿	〔※󰄩※󰄩※󰂇※󰃐☯xxal☯jī※〕
疀	〔※󰄞※󰃐※󰂶※󰁾☯vlgh☯chā※〕
疁	〔※󰃐※󰃥※󰄤※󰂥☯lnwe☯liú※〕
疂	〔※󰃐※󰀪※󰃱※󰂶☯lipg☯dié※〕
疃	〔※󰃐※󰄓※󰃋※󰂮☯lujf☯tuǎn※〕
疄	〔※󰃐※󰃪※󰃹※󰂅☯loqg☯lín※lìn※〕
疅	〔※󰃐※󰂶※󰃐※󰂶☯lglg☯jiāng※〕
疆	〔※󰄬※󰂮※󰂶※󰂶☯xfgg☯jiāng※qiáng※〕
疇	〔※󰃐※󰂯※󰃦※󰂳☯lfnf☯chóu※〕
疈	〔※󰂶※󰃏※󰃐※󰃐☯gkll☯pì※〕
疉	〔※󰃐※󰃐※󰃐※󰄰☯lllx☯dié※〕
疊	〔※󰃐※󰃐※󰃐※󰂶☯lllg☯dié※〕
疋	〔※󰃦※󰁾※󰀦※☯nhi☯pǐ※yǎ※shū※〕
疌	〔※󰂶※󰁬※󰁾※󰀦☯gvhi☯jié※qiè※〕
疍	〔※󰃦※󰁾※󰃋※󰂶☯nhjg☯dàn※〕
疎	〔※󰃦※󰂾※󰄅※󰃏☯nhsk☯shū※〕
疏	〔※󰃦※󰂾※󰄶※󰀸☯nhyk☯shū※〕
疐	〔※󰂱※󰃱※󰃐※󰁾☯fplh☯zhì※dì※〕
疑	〔※󰄮※󰁿※󰂝※󰁾☯xtdh☯yí※nǐ※〕
疒	〔※󰄛※󰄼※󰂶※󰀞☯uygg☯nè※〕
疓	〔※󰄛※󰂖※󰀏※☯ube☯nǎi※〕
疔	〔※󰄛※󰄆※󰀵※☯usk☯dīng※〕
疕	〔※󰄛※󰄮※󰁫※☯uxv☯bǐ※〕
疖	〔※󰄛※󰁹※󰀵※☯ubk☯jiē※〕
疗	〔※󰄛※󰂒※󰀵※☯ubk☯liáo※〕
疘	〔※󰄛※󰂆※󰀌※☯uad☯gāng※〕
疙	〔※󰄛※󰁿※󰃝※󰁫☯utnv☯gē※yì※〕
疚	〔※󰄛※󰁛※󰂃※󰀦☯uqyi☯jiù※〕
疛	〔※󰄛※󰂳※󰀦※☯ufi☯zhǒu※〕
疜	〔※󰄛※󰂶※󰂿※󰀦☯ughi☯xià※〕
疝	〔※󰄛※󰃘※󰀵※☯umk☯shàn※〕
疞	〔※󰄛※󰂭※󰁔※󰁫☯ufnv☯xū※〕
疟	〔※󰄛※󰂋※󰂶※󰀌☯uagd☯nüè※yào※〕
疠	〔※󰄛※󰂶※󰁡※󰀏☯ugqe☯lì※lài※〕
疡	〔※󰄛※󰁍※󰁤※󰀏☯unre☯yáng※〕
疢	〔※󰄛※󰃩※󰀦※☯uoi☯chèn※〕
疣	〔※󰄛※󰁼※󰄻※󰄼☯udny☯yóu※〕
疤	〔※󰄛※󰂚※󰁫※☯ucv☯bā※〕
疥	〔※󰄛※󰄤※󰀯※󰀵☯uwjk☯jiè※〕
疦	〔※󰄛※󰁄※󰄤※󰀦☯unwi☯jué※xuè※〕
疧	〔※󰄛※󰁚※󰀁※󰁫☯uqav☯qí※〕
疨	〔※󰄛※󰀄※󰂻※󰄋☯uaht☯yǎ※xiā※〕
疩	〔※󰄛※󰄡※󰂱※󰀵☯uvfk☯cuì※〕
疪	〔※󰄛※󰁴※󰄮※󰁫☯uxxv☯bì※〕
疫	〔※󰄛※󰄨※󰂘※󰀦☯uwci☯yì※〕
疬	〔※󰄛※󰂡※󰂫※󰀏☯udee☯lì※〕
疭	〔※󰄛※󰄤※󰄤※󰀦☯uwwi☯zòng※〕
疮	〔※󰄛※󰄤※󰂑※󰁫☯uwbv☯chuāng※〕
疯	〔※󰄛※󰁰※󰄄※󰀦☯uwri☯fēng※〕
疰	〔※󰄛※󰄼※󰂷※󰀌☯uygd☯zhù※〕
疱	〔※󰄛※󰃷※󰃠※󰁫☯uqnv☯pào※〕
疲	〔※󰄛※󰂗※󰀦※☯ubi☯pí※〕
疳	〔※󰄛※󰂴※󰀌※☯ufd☯gān※〕
疴	〔※󰄛※󰄆※󰃏※󰀌☯uskd☯kē※〕
疵	〔※󰄛※󰂾※󰄮※󰁫☯uhxv☯cī※〕
疶	〔※󰄛※󰂊※󰄃※󰁫☯uanv☯xuē※〕
疷	〔※󰄛※󰁚※󰀁※󰄼☯uqay☯zhī※〕
疸	〔※󰄛※󰃋※󰂶※󰀌☯ujgd☯dǎn※〕
疹	〔※󰄛※󰄤※󰂥※󰀏☯uwee☯zhěn※〕
疺	〔※󰄛※󰄋※󰃭※󰀦☯utpi☯fá※biǎn※〕
疻	〔※󰄛※󰃏※󰄦※󰀦☯ukwi☯zhǐ※〕
疼	〔※󰄛※󰄐※󰁦※󰀦☯utui☯téng※〕
疽	〔※󰄛※󰀐※󰂶※󰀌☯uegd☯jū※〕
疾	〔※󰄛※󰁿※󰂝※󰀦☯utdi☯jí※〕
疿	〔※󰄛※󰄬※󰀯※󰀵☯uxjk☯fèi※féi※〕
痀	〔※󰄛※󰃷※󰃏※󰀌☯uqkd☯gōu※〕
痁	〔※󰄛※󰀥※󰃏※󰀌☯uhkd☯shān※diàn※〕
痂	〔※󰄛※󰂫※󰃏※󰀌☯uekd☯jiā※〕
痃	〔※󰄛※󰄶※󰄩※󰀦☯uyxi☯xuán※〕
痄	〔※󰄛※󰁿※󰂺※󰂭☯uthf☯zhà※〕
病	〔※󰄛※󰂶※󰃜※󰄤☯ugmw☯bìng※〕
痆	〔※󰄛※󰃡※󰄮※󰁫☯unxv☯niè※〕
症	〔※󰄛※󰂶※󰂾※󰀌☯ughd☯zhèng※zhēng※〕
痈	〔※󰄛※󰂨※󰀵※☯uek☯yōng※〕
痉	〔※󰄛※󰀉※󰂆※󰀌☯ucad☯jìng※〕
